Name,Amount,District
"Correa, Lou","$1,000",D-CA
"Crane, Eli","$1,000",R-AZ
"Duke, Brady","$1,000",R-FL
"Eshoo, Anna","$1,000",D-CA
"Espaillat, Adriano","$1,000",D-NY
"Higgins, Brian M","$1,000",D-NY
"Huq, Muzib","$1,000",D-NY
"Karr, Gregory","$1,000",D-SC
"Keating, Bill","$1,000",D-MA
"Larson, John","$1,000",D-CT
"Lawson, Al","$1,000",D-FL
"Makki, Amanda","$1,000",R-FL
"Meng, Grace","$1,000",D-NY
"Mfume, Kweisi","$1,000",D-MD
"Moskowitz, Jared","$1,000",D-FL
"Napolitano, Grace","$1,000",D-CA
"Navarre, Stewart","$1,000",D-VA
"Palazzo, Steven","$1,000",R-MS
"Quartey, Quaye","$1,000",D-CA
"Russell, Ken","$1,000",D-FL
"Sheth, Ashmi","$1,000",D-NY
"Smith, Chris","$1,000",R-NJ
"Thompson, Bennie G","$1,000",D-MS
"Torres, Ritchie","$1,000",D-NY
"Veasey, Marc","$1,000",D-TX
"Pansing Brooks, Patty",$871,D-NE
"Herring, Wade",$850,D-GA
"Osorio, Bryan",$770,D-CA
"Badhasso, Amane",$750,D-MN
"Cheney, Liz",$750,R-WY
"Arballo, Phil",$728,D-CA
"Friese, Randy",$675,D-AZ
"Clyburn, James E",$624,D-SC
"Geller, Eddie",$600,D-FL
"Smith, Erica",$578,D-NC
"Cavalier, Crystal",$571,D-NC
"Takano, Mark",$567,D-CA
"Donovan, Kerry",$550,D-CO
"Gunby, Trish",$550,D-MO
"Rodriguez, Eduardo",$550,D-TX
"Selker, John",$550,D-OR
"Ehasz, Ashley",$520,D-PA
"Beach, Emily",$500,D-CA
"Bognet, Jim",$500,R-PA
"Burnett, Debby",$500,D-CO
"Daza, Antonio",$500,D-GA
"Farrell, Bridie",$500,D-NY
"LaPierre, Michael",$500,R-SC
"Putorti, Matthew",$500,D-NY
"Rading, Ajwang",$500,D-CA
"Roybal-Allard, Lucille",$500,D-CA
"Samuels, Don",$500,D-MN
"White, Doug",$500,D-WA
"Bean, Lydia",$450,D-TX
"DePasquale, Eugene",$300,D-PA
"Jefferson, Jrmar",$300,D-TX
"Throneburg, Josh",$300,D-VA
"Phillips, Dean",$275,D-MN
"Ballard, Jack",$250,D-MT
"Combs, Lewis",$250,D-VA
"Diemer, Matthew",$250,D-OH
"Fulcher, Russ",$250,R-ID
"Gray, Molly",$250,D-VT
"Haugen, Mark",$250,D-ND
"Klee Hood, Sarah",$250,D-NY
"Kurani, Shrina",$250,D-CA
"Logan, George S",$250,R-CT
"Menendez, Rob",$250,D-NJ
"Neal, Richard E",$250,D-MA
"Perry, Jan",$250,D-CA
"Sanchez, Linda",$250,D-CA
"Steiner, Max",$250,D-CA
"Wiggins, Brice",$250,R-MS
"Cuellar, Henry",$227,D-TX
"Meloy, Sean",$200,D-PA
"Hunt, Alexandra",$150,D-PA
"McClellan, Jennifer",$125,D-VA
"McClintock, Tom",$125,R-CA
"Luevanos, Ruth",$100,D-CA
"Arraf, Huwaida",$75,D-MI
"Gibbs, John",$75,R-MI
"Jackson, Jonathan",$75,D-IL
"Rayner, Michele K. Ms.",$50,D-FL
"Samuels, Ben",$50,D-MO
"Allam, Nida",$48,D-NC
"Buttar, Shahid",$20,D-CA
"Grayson, Alan",$20,D-FL
"Kirkpatrick, Ann",$15,D-AZ
"Nadler, Jerrold",$10,D-NY
"Darling, Katie",$7,D-LA
"Boyle, Brendan",$-500,D-PA
"Brindisi, Anthony","$-1,000",D-NY
"Gonzalez, Anthony","$-2,900",R-OH
"Kind, Ron","$-4,800",D-WI
"Cooper, Jim","$-5,000",D-TN
"Moulton, Seth","$-5,750",D-MA
