Name,Amount,District
"Frisch, Adam","$19,960",D-CO
"Emmer, Tom","$19,900",R-MN
"Wagner, Ann","$19,737",R-MO
"Miller-Meeks, Mariannette","$19,650",R-IA
"Trahan, Lori","$19,050",D-MA
"Grothman, Glenn S","$19,000",R-WI
"Johnson, Dusty","$19,000",R-SD
"Larson, John","$18,900",D-CT
"McCormick, Richard","$18,900",R-GA
"Williams, Roger","$18,641",R-TX
"Wenstrup, Brad","$18,625",R-OH
"Strong, Dale","$18,375",R-AL
"Ruiz, Raul","$18,150",D-CA
"DelBene, Suzan","$18,044",D-WA
"Maryott, Brian","$18,001",R-CA
"Estes, Ron","$17,900",R-KS
"Bass, Karen","$17,750",D-CA
"Zeldin, Lee","$17,750",R-NY
"Tonko, Paul","$17,671",D-NY
"Dunn, Neal","$16,700",R-FL
"Beatty, Joyce","$16,600",D-OH
"Allen, Richard W","$16,500",R-GA
"Wittman, Rob","$16,500",R-VA
"Kelly, Mike","$16,450",R-PA
"Rollins, Will","$16,450",D-CA
"Mooney, Alex","$16,400",R-WV
"McBath, Lucy","$16,300",D-GA
"DeGette, Diana","$15,620",D-CO
"Cleaver, Emanuel","$15,250",D-MO
"Fitzgerald, Scott","$15,250",R-WI
"Majewski, J R","$14,900",R-OH
"Underwood, Lauren A","$14,900",D-IL
"Jordan, Jim","$14,797",R-OH
"Zinke, Ryan","$14,700",R-MT
"Hoyle, Val","$14,640",D-OR
"Stewart, Chris","$14,450",R-UT
"Bognet, Jim","$14,175",R-PA
"Fallon, Patrick","$14,125",R-TX
"Bracy, Randolph","$13,810",D-FL
"Fletcher, Lizzie","$13,800",D-TX
"Chavez-Deremer, Lori","$13,798",R-OR
"Luetkemeyer, Blaine","$13,782",R-MO
"Panetta, Jimmy","$13,775",D-CA
"Gomez, Jimmy","$13,700",D-CA
"Makki, Amanda","$13,700",R-FL
"Scott, Austin","$13,650",R-GA
"Rice, Tom","$13,600",R-SC
"Blumenauer, Earl","$13,560",D-OR
"Huffman, Jared","$13,500",D-CA
"Kiley, Kevin","$13,500",R-CA
"McClintock, Tom","$13,400",R-CA
"Bonamici, Suzanne","$13,299",D-OR
"Jackson, Jeff","$13,200",D-NC
"Van Orden, Derrick","$13,081",R-WI
"Babin, Brian","$12,900",R-TX
"Jackson, Jonathan","$12,900",D-IL
"Fry, Russell","$12,800",R-SC
"Ellzey, Jake","$12,751",R-TX
"Carl, Jerry","$12,750",R-AL
"Green, Jennifer-Ruth","$12,750",R-IN
"Sewell, Terri","$12,750",D-AL
"Gonzales, Tony","$12,645",R-TX
"Burchett, Tim","$12,527",R-TN
"Bean, Aaron","$12,500",R-FL
"Flood, Mike","$12,500",R-NE
"McClellan, Jennifer","$12,500",D-VA
