Name,Amount,District
"Lee, Laurel","$2,900",R-FL
"Patti, Tom","$2,900",R-CA
"Becker, April","$2,876",R-NV
"Oakley, Imani Raine","$2,850",D-NJ
"Obernolte, Jay","$2,823",R-CA
"Scott, David","$2,812",D-GA
"Schmidt, Patrick","$2,800",D-KS
"Lewis, Jazz","$2,750",D-MD
"Schneider, Brad","$2,662",D-IL
"Daniels, Shamaine Ms","$2,650",D-PA
"Scott, Bobby","$2,612",D-VA
"Basler, Doug","$2,600",R-WA
"Ocasio-Cortez, Alexandria","$2,592",D-NY
"Pascrell, Bill Jr","$2,512",D-NJ
"DuBose, Bobby","$2,500",D-FL
"Edmonson, Audrey","$2,500",D-FL
"Lynn, Eric","$2,500",D-FL
"Swank, Keith","$2,500",R-WA
"Wallace, Litesa","$2,500",D-IL
"Westerman, Bruce","$2,500",R-AR
"Adams, Alma","$2,462",D-NC
"Olivo, Christine","$2,450",D-FL
"Santos, George","$2,275",R-NY
"Beutler, Jaime Herrera","$2,250",R-WA
"Manning, Kathy","$2,137",D-NC
"Mayfield, Darius","$2,100",R-NJ
"DeFazio, Peter","$2,000",D-OR
"Fort, Vincent","$2,000",D-GA
"Houchin, Erin","$2,000",R-IN
"Johnson, Dusty","$2,000",R-SD
"Kim, Sery","$2,000",R-TX
"Kind, Ron","$2,000",D-WI
"Lafazan, Josh","$2,000",D-NY
"Lesko, Debbie","$2,000",R-AZ
"Collins, Kina","$1,900",D-IL
"Green, Mark","$1,770",R-TN
"Russo, Allison","$1,550",D-OH
"Ivey, Glenn","$1,500",D-MD
"Stefanik, Elise","$1,475",R-NY
"Anantatmula, Manga","$1,425",R-VA
"Mfume, Kweisi","$1,362",D-MD
"Espaillat, Adriano","$1,312",D-NY
"Trahan, Lori","$1,312",D-MA
"Morgenthau, Sarah","$1,300",D-RI
"DeGette, Diana","$1,262",D-CO
"Garcia, Jesus","$1,262",D-IL
"Jones, Vernon","$1,260",R-GA
"Frisch, Adam","$1,250",D-CO
"Kelly, Mike","$1,250",R-PA
"Reschenthaler, Guy","$1,250",R-PA
"Smith, Adrian","$1,250",R-NE
"Swaffar, Darlene","$1,250",R-FL
"Rading, Ajwang","$1,090",D-CA
"Andrews, Annie","$1,060",D-SC
"Phillips, Dean","$1,012",D-MN
"Wilson, Frederica","$1,012",D-FL
"Alford, Mark","$1,000",R-MO
"Allen, Richard W","$1,000",R-GA
"Anderson, Derrick","$1,000",R-VA
"Bartlett, Lisa","$1,000",R-CA
"Baxter, Tim","$1,000",R-NH
"Bernard, Claston","$1,000",R-LA
"Buchanan, Vernon","$1,000",R-FL
"Buck, Ken","$1,000",R-CO
"Cavazos, Aizar","$1,000",R-TX
"Christian, Bob","$1,000",D-GA
"Crane, Mike","$1,000",R-GA
"Darling, Katie","$1,000",D-LA
"Davis, Rodney","$1,000",R-IL
"Davis, Wendy","$1,000",D-TX
"Deutch, Ted","$1,000",D-FL
"Dowling, Elvin","$1,000",D-FL
"Edwards, Chuck","$1,000",R-NC
"Ejigu, Lulite","$1,000",R-TX
"Enoch, Vanessa","$1,000",D-OH
"Feenstra, Randy","$1,000",R-IA
"Finstad, Brad","$1,000",R-MN
"Fitzgerald, Scott","$1,000",R-WI
"Fulcher, Russ","$1,000",R-ID
"Gonzales, Christopher","$1,000",R-CA
"Gooden, Lance","$1,000",R-TX
"Griffie, Michael","$1,000",D-MI
"Hern, Kevin","$1,000",R-OK
"Hines, Bo","$1,000",R-NC
"Holtzman, Elizabeth","$1,000",D-NY
"Huynh, Hoan Dac","$1,000",D-IL
"Jackson, Natalie","$1,000",D-FL
"Jacobs, Chris","$1,000",R-NY
"Kahele, Kai","$1,000",D-HI
"Lamborn, Doug","$1,000",R-CO
"Letlow, Julia","$1,000",R-LA
"Logemann, Jonathan","$1,000",D-IL
"Marks, Martin","$1,000",R-FL
"Miller, Carol","$1,000",R-WV
"Miller-Meeks, Mariannette","$1,000",R-IA
"Moon, Cliff","$1,000",R-WA
"Mulugheta, Abel","$1,000",D-TX
"Omere, Iro","$1,000",D-TX
"Putorti, Matthew","$1,000",D-NY
"Rasool, Reema","$1,000",D-NY
"Roberts, Rusty","$1,000",R-FL
"Roybal-Allard, Lucille","$1,000",D-CA
"Sedillo Lopez, Antoinette","$1,000",D-NM
"Smucker, Lloyd","$1,000",R-PA
"Strong, Dale","$1,000",R-AL
"Tedesco, Chaz","$1,000",D-CO
"Thompson, Glenn","$1,000",R-PA
"Throneburg, Josh","$1,000",D-VA
"Villegas, Gilbert","$1,000",D-IL
