Name,Amount,District
"Islam, Nabilah","$1,000",D-GA
"Vilela, Amy","$1,000",D-NV
"Villaverde, Christine","$1,000",R-NC
"Collins, Kina",$838,D-IL
"Sorensen, Eric",$782,D-IL
"Boebert, Lauren",$750,R-CO
"Marshall, Derek",$750,D-CA
"Zapata, Claudia",$633,D-TX
"Rouda, Harley",$550,D-CA
"Adams, Alma",$500,D-NC
"Daniels, Shamaine Ms",$500,D-PA
"Golden, Jared",$500,D-ME
"Haderlein, Elizabeth",$500,D-IL
"Hawk, Danielle",$500,D-FL
"Pfaff, Brad",$500,D-WI
"Virasingh, Victoria",$500,D-VA
"Frost, Maxwell",$312,D-FL
"Gray, Adam",$250,D-CA
"Levin, Andy",$250,D-MI
"Mills, Aisha",$250,D-NY
"Pappas, Chris",$250,D-NH
"Robinson, Corinna",$250,D-FL
"Salas, Rudy",$250,D-CA
"Foster, Bill",$223,D-IL
"Arballo, Phil",$120,D-CA
"Jackson, Jeff",$105,D-NC
"Clarke, Yvette",$80,D-NY
"Steiner, Max",$50,D-CA
"Tonko, Paul",$45,D-NY
"Putorti, Matthew",$36,D-NY
"Gallego, Ruben",$10,D-AZ
"Maloney, Sean Patrick",$10,D-NY
"Keith, Pam",$-700,D-FL
"Klacik, Kimberly",$-750,R-MD
"Beach, Emily","$-1,400",D-CA
"Clark, Katherine","$-1,800",D-MA
"Morgenthau, Sarah","$-2,400",D-RI
